Character,Line
Mr. Connolly,"He discovered that children have things called marlocks in their bodies.  And when an adult has sex with a child, the marlocks implode, feeding the adult receptive cavity with energy that causes immortality, so saith the ruler of Bethos.  Phinehas traveled the world, loving many, many children, and he lived for eternity. Until he was hit by a train in 1892. 
"
Kyle,"...Do you realize how retarded that sounds?
"
Mr. Connolly,"Is it any more retarded than the idea of God sending his son to die for our sins? Is it any more retarded than Buddha sitting beneath a tree for twenty years?
"
Stan,"Yeah, it's way, way more retarded.
"
Mr. Connolly,"Well, now that you know our club secrets, it appears you ... leave us no choice. I'm afraid we're going to have to... ask you to leave. 
"
Stan,"We're not leaving without Chef.
"
Mr. Connolly,"If you choose not to leave, then I'm afraid we're just going to have to ... call security and make you leave.  You'll be let out by security and it will be super-embarrassing and everyone here will see!  Okay, you know how like, when you want people to leave but they won't leave, it's really frustrating?
"
Kyle,"We're not going anywhere without Chef.
"
Mr. Connolly,"Cool people leave before they've overstayed their welcome.  You petulant fools! You just had to push it, didn't you? You don't realize who you're dealing with here. Security!  Take these boys to the door.
"
Guard 1,"All right, come on kids.
"
Kyle,"No! Hey!
"
Mr. Connolly,"Haha! Look they're being led out by security! Haha!
"
Stan,"No, you don't understand! They've got our friend in the Deprivation Room!
"
Guard 2,"This is their house and they don't want you here. 
"
Kyle,"Sorry, dude, but this fruity little club isn't taking our friend!
"
William,"And sex with Eskimo children requires some special skills. 
"
Kyle,"Chef, come on!
"
Chef,"Children!
"
William,"Get out of here!
"
Cartman,"Kenny! Spin Blossom Nut Squash!
"
Kenny,"(Yeeeeehah!) 
"
Stan,"Come on, Chef!
"
Chef,"I can't... break these locks. 
"
Kyle,"Here! 
"
Cartman,"Run Chef!
"
Mr. Connolly,"What the-? Impossible! I made them leave!
"
Kyle,"Get outside! 
"
Mr. Connolly,"Stop them! 
"
Chef,"Children! Run! 
"
Mr. Connolly,"Stop! 
"
Stan,"We made it!
"
Mr. Connolly,"Don't you remember why you left South Park in the first place?? 
"
Stan,"Chef, come on!
"
Mr. Connolly,"You sought adventure! And why do people seek adventure? Because their lives have become dull and empty!
"
Kyle,"Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?
"
Mr. Connolly,"Don't forget all your training, Chef! Stay with us and your life will be GRAND and ETERNAL!
"
Stan,"Chef, we love you.
"
Chef,"I'm sorry children. 
"
Kyle,"No! Chef, they've filled your head with lies! Can't you see that??
"
Chef,"Get the hell out of here, children!!
"
Mr. Connolly,"Yesss. Looks like our fruity little club is safe after all.  NO! 
"
The Boys,"Chef! 
"
Chef,"Ack.  Ow! Oh! Ah! Oh! Dammit!  Ah- Awww! 
"
Stan,"NO! 
"
Cartman,"A mountain lion! 
"
Mr. Connolly,"We can't lose another member! Shoot it! 
"
Chef,"Ah!
"
Marksman,"All right, this! 
"
Kyle,"CHEF! 
"
Cartman,"A grizzly bear!
"
Stan,"Oh my God... They killed Chef.
"
Kyle,"You bastards. YOU BASTARDS!
"
Mr. Connolly,"Pity. He would have made an excellent child molester. 
"
Cartman,"Maybe- maybe he's still okay.  No, really. They say the last thing you do before you die is crap your-
"
Chef,"POOOT! 
"
Cartman,"Oh never mind.
"
Stan,"Come on, let's go. 
"
Kyle,"We're all here today because Chef has been such an important part of our lives. A lot of us don't agree with the choices Chef has made in the past few days.  Some of us... feel hurt... and confused that he seemed to turn his back on us.  But we can't let the events of the last week take away the memories of how much Chef made us smile.  I'm gonna remember Chef as the jolly old guy who always broke into song.  I'm gonna remember Chef... as the guy who gave us advice to live by.  So you see, we shouldn't be mad at Chef for leaving us. We should be mad at that little fruity club for scrambling his brains.
"
Randy,"Yeah.
"
Mr. Mackey,"He's right. 
"
Kyle,"And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all. 
"
Mr. Connolly,"Is it working? Is it working?
"
Tech,"Yes. We've got a pulse!
"
Mr. Connolly,"Get him in the ICU suit! Hurry!  We have done it! Good! Raise him up!  Chef, can you hear me? Say something.
"
Darth Chef,"Hello there, children. How would you like some Salisbury steak?
"
Mr. Connolly,"Yes, go on.
"
Darth Chef,"And for desert, how would you children like to suck on my chocolate salty balls?
"
Mr. Connolly,"Oh? You mean like a chocolate candy?
"
Darth Chef,"No, I mean my balls.
"
Mr. Connolly,"Yes, YES! Hahahahahahaaa!
"
Gerald,"Hey there, Richard!
"
Richard,"Oh, hey Gerald. New car?
"
Gerald,"Yeah. It's a hybrid. I just... I just couldn't sit back and-  be a part of destroying the earth anymore.
"
Richard,"Well... Good for you.
"
Gerald,"Oho...  Thanks. 
"
Stephen,"Well, there goes the new high-and-mighty Gerald Broflovski.
"
Mrs. Garrison,"Yeah, ever since he got that new hybrid he thinks he's better than everyone else.
"
Gerald,"You know, the emissions from a vehicle like yours causes irreparable damage to the ozone. I drive a hybrid; it's much better for the environment.  Thanks.
"
Kyle,"Dad, can we go home? All you ever do since you got this car is drive around and show it off! 
"
Driver,"Hey, is that a hybrid?
"
Gerald,"Oh yes. You've got one too, I see.
"
Driver,"Yeah, I like to be a part of the solution and not part of the problem. Well, anyway,  good for you!
"
Gerald,"Thanks.
"
Kyle,"Dad, I think Ike is starving to death. 
"
Gerald,"Hold on, boys. We still have to go to the hardware store, and hand out awareness citations to SUV cars in the parking lot.
"
Kyle,"What?!
"
Gerald,"Okay, there's another one.  Aw, man! Look at that!  Can you believe this?! An SUV with a V8 engine, makes me sick!  ""Ticket for driving a gas-guzzler""
"
Kyle,"Dad, can we go home, please?
"
Gerald,"Look, there's a Jeep over there! Go write them a ticket, Kyle!
"
Kyle,"But Dad, I want-
"
Gerald,"NOW, KYLE! 
"
Stan,"Oh hey Kyle.
"
Kyle,"Aw, hey dude. What are you doing here?
"
Stan,"Helping my Dad pick out some cool new power tools. What are you doing?
"
Kyle,"Helping my Dad give people fake tickets. 
"
Randy,"What's this? 
"
Gerald,"Oh! Sorry Randy. Looks like you got a ticket.
"
Randy,"A ticket? ""Failure to care about the environment"" Oh Goddammit, did you do this, Gerald?!
"
Gerald,"Yeah. I'm just, you know, trying to make people more aware ya' know, it's a-
"
Randy,"You got some nerve, you know that?! Where do you come off ticketing people?!
"
Gerald,"Well, Randy, calm down. It's not a real ticket.
"
Randy,"I know it's not a real ticket!!
"
Jimbo,"Broflovski, did you put this crap on my windshield?! 
"
Gerald,"Jimbo, your truck probably gets less than ten miles to the gallon.
"
Jimbo,"Well thanks, Officer Dickhole!
"
Kyle,"Dad, let's just go!
"
Gerald,"Look, I'm just trying to make the people of South Park aware of a very serious problem.
"
Randy,"The problem, Gerald, is that ever since you got a hybrid car, you've gotten so smug that you love the smell of your own farts!
"
Gerald,"Oh! I'm sorry! I didn't think it was ""high and mighty"" to  care about the earth!
"
Randy,"And that too! Stop talking with your eyes closed! That's what smug people do!
"
Gerald,"Well, I really don't see how  that has anything to do with the-
"
Randy,"There, like that! Stop that!
"
Darryl,"Who the hell put this faggy fake ticket on my truck!
"
Gerald,"All right, that does it! Come on, Kyle, I don't want you hanging around with these ignorant idiots! 
"
Gerald,"Yeah. Yeah, I think it's best we just do it right away.
"
Kyle,"Dad.  Dad, Ike and I have been talking, and well, we feel that your new car is changing you.
"
Gerald,"Yes, it certainly is.
"
Kyle,"We're thinking that a lot of people in town starting too... 
"
Ike,"Take offense.
"
Kyle,"...a-are starting to take offense at your actions. We feel like you're starting to become-hmm... 
"
Ike,"Alienated.
"
Kyle,"...star-starting to become alienated from some of your friends.
"
Gerald,"Well, I totally agree, Kyle.
"
Kyle,"You do??
"
Gerald,"Yes. A lot of people in town just aren't ready to drive hybrid cars.
"
Kyle,"Righ!  Okay, good.
"
Gerald,"And that's why,  I've talked it over with your mother, and  ...we've decided to MOVE!
"
Kyle,"What??
"
Gerald,"We need to be where everyone is motivated and progressive like us! Start getting your things packed, boys! The Broflovksi family is moving to San Francisco! 
"
Stan,"Yeah? 
"
Butters,"Uh hay, Stan. Uh you should come on over. Uh they're havin' a goin'-away party for Kyle.
"
Stan,"Going away party? What do you mean?
"
Butters,"Well don't you know? Kyle's movin' away.
"
Stan,"Moving away?? Kyle can't move away!
"
Butters,"Well he is.
"
Stan,"Where's the going-away party?
"
Butters,"At Cartman's house.
"
Cartman,"Hey everybody! There's more pop in the refrigerator. Let's make this the best going-away party EVER! 
"
Token,"Hey Eric, where's Kyle?
"
Cartman,"Who? 
"
Clyde,"Kyle, the person leaving.
"
Cartman,"Kyle? Why would I invite Kyle?
"
Craig,"Dude, a going-away party is supposed to be for the person who is going away!
"
Stan,"Kyle? Kyle!
"
Clyde,"Kyle's not here. Cartman didn't invite him.
"
Stan,"What?!
"
Cartman,"You guys, this is our party. That no-good back-stabbing Jew rat is finally leaving! Come on, everyone! Let's sing! 'Nanana na! Nanana na! Hey hey hey! Goodbye Kyle!
"
Stan,"Kyle! Du-what is going on?!
"
Kyle,"My Dad says he can't live here anymore.
"
Stan,"Mr. Broflovski, please. Kyle's my best friend.
"
Gerald,"I'm sorry, Stan, but unfortunately you live in a small-minded town filled with ignorant boobs.
"
Stan,"Well... Maybe they'll change.
"
Gerald,"I wouldn't count on it. Come on, boys, get in the car! 
"
Stan,"Nooo!
"
Gerald,"Maybe you can make a difference, Stan.  Maybe you can get everyone to drive hybrid cars. Until that day,  we're just gonna have to be  with our own kind. 
"
Stan,"I will. I will get everyone to drive hybrid cars! I swear it!
"
Gerald,"Well? What do you think, huh? 
"
Sheila,"Oh Gerald, it's beautiful.
"
Gerald,"Yeah. Now THIS, is a house. 
"
Man,"Oh hello there, you must be the new neighbors.
"
Gerald,"Yes that's right. We're the Broflovskis.
"
Man,"Welcome to San Francisco. I'm Peter Thompson. This is my wife, Nancy Jarvis, and our son, Brian Thompson-Jarvis  So how do you like the neighborhood?
"
Sheila,"Oh it's gorgeous. These old houses are so neat.
"
Peter,"Yes, well, unlike most cities, in San Francisco we try to  keep all the historic houses instead of knocking them down.
"
Man 2,"You in here, Peter?
"
Peter,"Oh hay, Paul. Come on in and meet the Broflovskis
"
Paul,"Hello there. I'm Paul McDonahue. This is my wife, Paulie Beaumont-McCallahan, and our daughter, Mindy McDonahue-Beaumont-McCallahan
"
Gerald and Sheila,"Hello.
"
Paul,"We noticed your hybrid out front - that's a V series, right?
"
Gerald,"Yeah. That's right.
"
Peter,"Whoa, nice car, but we're gonna have to get you into the BT series  Its emissions are actually cleaner.
"
Gerald,"Wow, so, everyone here drives a hybrid, huh?
"
Peter,"Oh, of course. We're a little more progressive and ahead of the curve here in San Francisco.  Ahhhm.  Anyway, I'm sure you'll find it much better here.
"
Paul,"Yes, you'll find that San Francisco is pretty much more open-minded and grown-up than the Midwest.  Ahhh,  ahh,  ahh.  We're just a little bit more protective of our environment here in San Francisco
"
Gerald,"Yeah. We sure are.
"
Stan,"Come on, people. Come on, people now. 
"
Cartman,"Dude, what are you doing?
"
Stan,"I'm writing a song about the importance of hybrid cars, so maybe people will change their ways.
"
Cartman,"THAT's gay, heh.
"
Stan,"Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!
"
Cartman,"Why do you want Kyle back?? Don't you see how awesome it is without him?
"
Stan,"You know, Cartman, you may be stoked now, but I bet you're gonna find that withuot Kyle around to rip on, your life is empty, and hollow.
"
Cartman,"Psh! Whatever dude. I don't need Kyle to rip on, I've got Butters. Come on, Butters, you stupid Jew! 
"
Butters,"Yeah! I'm a dumb Jew. 
"
Stan,"Come on, people. Come on, people now.
"
DJ,"All right, all you dreamers and creamers out there out there in South Park, I'm gonna play a song by a local artist that really made me think about my impact on the earth. This is Stan Marsh with ""Hey, People, You've Gotta Drive Hybrids Already"". 
"
Stan,"Come on now, people now people now'
People now, come on now, people now
Got to drive hybrids, people now
People now, people now, people now
Hybrids are for people now, people now
Group of people driving people now
Get a hybrid, be good people now.
"
Customer,"He's right. 
"
Stan,"We have all got to be people now
People-driving-hybrid people now
People now, people now, hybrid now
Hybrid-people-driving people now.
Come on, people, let's be people now
Hybrid-people-driving people now
Come on, everybody be people now
"
Jimbo,"Yeah, I just wanted to  try to set an example, you know?
"
Jimbo,"Thanks. 
"
Mrs. Garrison,"Can you believe some people still don't drive hybrids? 
"
Randy,"I know! It's like ""Earth to America? Hello? This is simple stuff here. Gawl""
"
Mr. Mackey,"Well from now on, I'm only going to associate with other hybrid-car drivers. Everyone else is just ignorant, m'kay?
"
Driver 1,"Good for you!
"
Driver 2,"Thanks!
"
Randy,"At least we're smart enough to know better!
"
Driver 3,"Thanks! 
"
Stan,"Come on, everybody be people now
"
Speaker,"And so we are here to honor Stan Marsh for making South Park the city with the highest percentage of hybrid owners in the country! 
"
Richard,"If only the rest of the country  was as insightful as we are.
"
Stan,"Ah, thanks. I was really just trying to make it so my friend can move back here so... if you don't mind, I'm gonna try to get a hold of him now. 
"
Jimbo,"Great speech!
"
Gerald,"Yeah, well, you know my son is just  a little bit more clever than some.
"
An officer,"Hello there, I'm Ranger McFriendly. I'm the person who watches over the delicate ecosystem of South Park. You must be the little boy who wrote that song.
"
Stan,"Yeah.
"
Ranger McFriendly,"Uhh! 
"
Stan,"Ow!
"
Ranger McFriendly,"You son of a bitch! Do you have any idea what you've done?!
"
Stan,"What?!
"
Ranger McFriendly,"Come with me! 
"
Ranger McFriendly,"There! Look! 
"
Stan,"Smog? There's never been smog over South Park before.
"
Ranger McFriendly,"Don't you get it?! When people drive hybrid cars, they get so full of themselves they spew tons of self-satisfied garbage into the air! That isn't smog, it's smug!
"
Stan,"Smug?
"
Ranger McFriendly,"Hybrid cars make better for emission levels, but people who drive hybrid cars are the leading cause of smug. You can have smug in the atmosphere, and you know what that leads to? Glodal laming! Thanks to your gay little song, South Park is now the second smuggiest city in America!
"
Announcer,"This is a South Park News Weather Bulletin!
"
Anchor Tom,"It looks like we have a smug alert here in South Park. Our own Keenan Williams has the details. Keenan?
"
Keenan,"Thanks, Tom, a smug alert is in effect at least tomorrow morning.  All those hybrid cars on the road have caused heavy smug to develop over most of Park and Jefferson Counties. On the national map, we can see smug over Denver and developing smug in Los Angeles. However, San Francisco is once again the smuggiest city in the country.
"
Singer,"A smuggy day in San Francisco town.
"
Paul,"Sheila, did you meet Gail and Brian?
"
Sheila,"No! Hello, how are you?
"
Gail,"Really good, really good. 
"
Gerald,"Hey there. Alan, right?
"
Alan,"Actually, it's Alain
"
Gerald,"Right right, w-would, would you like red or white wine?
"
Alan,"Can I just get an empty glass?
"
Gerald,"Oh. Sure. 
"
Alan,"Can you believe all these imbeciles in Texas? They just put another prisoner to death. 
"
Kyle,"So... what do you do for fun?
"
Brian,"We drink and take drugs.
"
Boy 1,"Do you want some acid?
"
Kyle,"Oh, no thanks. We don't do that stuff.
"
Boy 2,"You will. There's a reason most San Francisco kids take a lot of drugs.
"
Brian,"It's the only thing that allows us to deal with our parents all walking around loving the smell of their own farts all the time.
"
Gerald,"Everything okay in here, Kyle?
"
Kyle,"Yeah, fine, Dad.
"
Gerald,"So much better here with the intellectuals, isn't it, boys?  Wuhh  Mmmm.
"
Kyle,"Well... maybe I'll take just half a hit of acid.
"
Ike,"I want three.
"
Stan,"No, no, I'm asking if there's a listing for Broflovski in San Francisco! They just moved there!
"
Cartman,"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!
"
Butters,"Yeah. You're right. 
"
Cartman,"You know Butters, you make for a lousy Jew.
"
Butters,"Well I'm sorry. Well it's just that I'm not Jewish, and now th-
"
Cartman,"No, no! Don't apologize, you asshole!
"
Ranger McFriendly,"Marsh!
"
Stan,"Oh crap, Ranger McFriendly.
"
Cartman,"Who?
"
Ranger McFriendly,"You'd better come with me to the news station! Our situation just got a lot worse!
"
Keenan,"I noticed it on the computer this morning. Look here.  This is the smug over South Park. It's... getting bigger and gaining strength.
"
Cartman,"The smug?
"
Keenan,"The smug is getting so massive that it's moving west... and fusing with the San Francisco smug... Here.  These two smug clouds are combining, fueling each other.  Now take a look at this. 
"
Stan,"What is that?
"
Keenan,"It's the smug from George Clooney's acceptance speech at the Academy Awards.
"
Stan,"George Clooney's acceptance speech?
"
Keenan,"Did you hear it? He talked about how people in Hollywood are ahead of the curve on social mattes. He even took credit for the Civil Rights movement -Look!! The point is... the smug from his acceptance speech has been slowly drifting north since he gave it... and is headed straight for the super cell. The South Park and San Francisco smug is already at critical mass. If it gets hit by George Clooney's acceptance speech, it will be a disaster of epic proportions. The perfect storm... of self-satisfaction.
"
